Quantity available for crop commodity demand (domestic and imported),,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Eastern,regional soybean,domestic soybean,Soybean,domestic soybean,0.074963,0.204901,0.217226,0.120966,0.133637,0.156284,0.182719,0.225594,0.275281,0.329754,0.389196,0.420763,0.453356,0.486478,0.517823,0.546326,0.570233,0.591673,0.61079,0.627973,0.643197,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Eastern,regional soybean,imported soybean,traded soybean,imported soybean,0.0583406,0.124985,0.118305,0.170687,0.190591,0.234187,0.298891,0.368864,0.458847,0.567729,0.700279,0.878054,1.10261,1.37674,1.70338,2.06893,2.45634,2.86368,3.27609,3.68373,4.07167,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Eastern,regional sugarcrop,domestic sugarcrop,SugarCrop,domestic sugarcrop,14.403,21.2513,22.9222,23.1229,25.757,28.5203,31.4743,34.6046,37.9086,41.2525,44.5465,47.0967,49.4534,51.5483,53.4239,55.0361,56.3186,57.3024,58.0693,58.6089,58.9712,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Eastern,regional sugarcrop,imported sugarcrop,traded sugarcrop,imported sugarcrop,0,0,0.667976,1.3643,1.7611,2.15863,2.68543,3.44092,4.36865,5.27128,6.05575,6.67251,7.40628,8.07508,8.85651,9.56575,10.1086,10.4814,10.7273,10.8247,10.7762,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Eastern,regional wheat,domestic wheat,Wheat,domestic wheat,1.55989,3.18002,3.84504,4.96519,5.4728,5.92563,6.31797,6.65206,6.95521,7.21157,7.43735,7.56307,7.66398,7.74539,7.81056,7.85672,7.8722,7.87728,7.87804,7.87688,7.86842,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Eastern,regional wheat,imported wheat,traded wheat,imported wheat,1.71215,3.45432,5.4604,4.32217,5.42643,6.45428,7.59156,8.07809,8.53974,8.93776,9.35042,10.5688,11.9445,13.4398,15.1092,16.8264,18.4518,20.0101,21.4865,22.868,24.1297,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Eastern,total biomass,domestic biomass,biomass,domestic biomass,0.274246,0.413266,0.455497,0.51549,0.609552,0.774879,1.01422,1.28491,1.57189,1.85532,2.14023,2.37225,2.58499,2.77271,2.937,3.0781,3.20178,3.31609,3.41852,3.51004,3.60062,EJ
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Eastern,total biomass,imported biomass,traded biomass,imported biomass,0.376501,0.569711,0.622939,0.722509,0.84449,1.05045,1.3974,1.7925,2.21694,2.68764,3.19469,3.74382,4.29523,4.83745,5.39755,5.9313,6.40919,6.87608,7.34182,7.80061,8.29272,EJ
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,FodderHerb_Residue,FodderHerb,FodderHerb,FodderHerb,11.9901,17.9027,22.0347,23.3185,26.5175,29.4987,32.8869,36.0337,38.8615,41.5139,43.9003,46.3349,48.2853,49.8947,51.017,51.7919,52.3997,52.7812,52.9484,52.9391,52.8319,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,NonFoodDemand_Crops,FodderHerb,FodderHerb,FodderHerb,15.2505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,Pasture_FodderGrass,FodderGrass,FodderGrass,FodderGrass,7.0318,7.48,7.74,7.78,8.47428,9.13697,9.89215,10.5861,11.2208,11.8284,12.4026,12.9724,13.4244,13.7951,14.0571,14.242,14.399,14.5072,14.5764,14.5987,14.5882,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,regional corn,domestic corn,Corn,domestic corn,5.07242,6.65922,7.60271,8.01906,8.43816,9.13909,9.86882,10.4067,10.9044,11.4152,11.9199,12.2768,12.5624,12.7949,12.9678,13.1149,13.2243,13.2998,13.352,13.3733,13.3346,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,regional corn,imported corn,traded corn,imported corn,2.9372,8.35036,10.9882,12.1246,11.665,12.4528,13.2994,14.0082,14.5227,14.8033,15.0348,15.671,16.3042,16.8314,17.3601,17.7943,18.0985,18.288,18.4285,18.5045,18.5819,Mt
"Reference,date=2020-12-10T11:41:35-07:00",Africa_Northern,regional fibercrop,domestic fibercrop,FiberCrop,domestic fibercrop,0.910107,0.608207,0.418528,0.365601,0.406318,0.429505,0.450726,0.493582,0.530348,0.565282,0.596403,0.584503,0.569443,0.552363,0.533606,0.514068,0.491747,0.468572,0.446252,0.416751,0.349214,Mt
